,index,hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,emergency_services,subtotal_acute_utilization,payroll_employees,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,state
1180,1180,GLENBEIGH HEALTH SOURCES,Voluntary non-profit - Private,Acute Care Hospitals,41.672446,-80.856723,2863 STATE ROUTE 45,ROCK CREEK,False,75.0,257.95,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,Not Available,Ohio
1181,1181,THREE GABLES SURGERY CENTER,Proprietary,Acute Care Hospitals,38.440748,-82.393298,5897 COUNTY ROAD 107,PROCTORVILLE,False,2.0,43.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ohio
1182,1182,MERCY HEALTH - DEFIANCE HOSPITAL,Proprietary,Acute Care Hospitals,41.282694,-84.339625,1404 EAST SECOND STREET,DEFIANCE,True,35.0,122.46,4,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Ohio
1183,1183,CRYSTAL CLINIC ORTHOPAEDIC CENTER,Proprietary,Acute Care Hospitals,41.09707,-81.512155,444 NORTH MAIN STREET,AKRON,False,43.0,754.54,Not Available,Not Available,Above the national average,Not Available,Above the national average,Not Available,Not Available,Not Available,Ohio
1184,1184,OHIO VALLEY SURGICAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,39.924716,-83.812195,100 WEST MAIN STREET,SPRINGFIELD,False,15.0,189.73,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Ohio
1185,1185,"PARKVIEW WABASH HOSPITAL, INC",Voluntary non-profit - Private,Critical Access Hospitals,40.81877,-85.829126,10 JOHN KISSINGER DRIVE,WABASH,True,40.0,186.3,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Indiana
1186,1186,COAST PLAZA HOSPITAL,Proprietary,Acute Care Hospitals,33.912428,-118.099156,13100 STUDERBAKER ROAD,NORWALK,True,25.0,246.92,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Not Available,California
1187,1187,WILLS EYE HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,39.948271,-75.1557,840 WALNUT STREET,PHILADELPHIA,False,52.0,194.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Pennsylvania
1188,1188,KANSAS SURGERY & RECOVERY CENTER,Physician,Acute Care Hospitals,37.732911,-97.226256,2770 NORTH WEBB ROAD,WICHITA,False,36.0,149.05,Not Available,Not Available,Above the national average,Not Available,Above the national average,Not Available,Not Available,Not Available,Kansas
1189,1189,MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM,Voluntary non-profit - Other,Acute Care Hospitals,40.437077,-79.959546,300 HALKET STREET,PITTSBURGH,True,80.0,2438.0,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Not Available,Pennsylvania
1190,1190,SONOMA DEVELOPMENTAL CENTER,Government - State,Acute Care Hospitals,38.349027,-122.51691,15000 ARNOLD DRIVE   /  P O BOX 1493,ELDRIDGE,False,21.0,692.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,California
1191,1191,FAIRVIEW DEVELOPMENTAL CENTER,Government - Local,Acute Care Hospitals,33.664912,-117.919267,2501 HARBOR BOULEVARD,COSTA MESA,False,3.0,493.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,California
1192,1192,EISENHOWER MEDICAL CENTER,Proprietary,Acute Care Hospitals,33.764852,-116.408085,39-000 BOB HOPE DRIVE,RANCHO MIRAGE,True,54.0,4056.0,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Below the national average,California
1193,1193,MEMORIALCARE SADDLEBACK MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,33.607762,-117.708258,24451 HEALTH CENTER DRIVE,LAGUNA HILLS,True,51.0,1322.28,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,California
1194,1194,FAIRFAX COMMUNITY HOSPITAL,Voluntary non-profit - Other,Critical Access Hospitals,36.563619,-96.705262,40 HOSPITAL ROAD,FAIRFAX,True,26.0,56.53,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,Oklahoma
1195,1195,NOVANT HEALTH MEDICAL PARK HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,36.078159,-80.295715,1950 S HAWTHORNE RD,WINSTON-SALEM,False,33.0,192.98,Not Available,Not Available,Above the national average,Not Available,Above the national average,Not Available,Not Available,Not Available,North Carolina
1196,1196,CANYON VISTA MEDICAL CENTER,Voluntary non-profit - Other,Acute Care Hospitals,31.554635,-110.230726,5700 EAST HIGHWAY 90,SIERRA VISTA,True,53.0,600.96,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Arizona
1197,1197,OCEAN MEDICAL CENTER,Voluntary non-profit - Other,Acute Care Hospitals,40.078327,-74.129748,425 JACK MARTIN BLVD,BRICK,True,65.0,1770.93,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,New Jersey
1198,1198,GREENWICH HOSPITAL ASSOCIATION -,Voluntary non-profit - Private,Acute Care Hospitals,41.034395,-73.629632,5 PERRYRIDGE RD,GREENWICH,True,74.0,1449.79,4,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Connecticut
1199,1199,ST VINCENT'S BIRMINGHAM,Voluntary non-profit - Private,Acute Care Hospitals,33.508015,-86.788755,810 ST VINCENT'S DRIVE,BIRMINGHAM,True,71.0,1757.47,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Alabama
1200,1200,SETON MEDICAL CENTER WILLIAMSON,Voluntary non-profit - Private,Acute Care Hospitals,30.567944,-97.652784,201 SETON PARKWAY,ROUND ROCK,True,79.0,514.84,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Texas
1201,1201,KAISER FOUNDATION HOSPITAL - FREMONT,Voluntary non-profit - Private,Acute Care Hospitals,37.550913,-121.975769,39400 PASEO PADRE PKWY,FREMONT,True,35.0,592.03,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,California
1202,1202,FRANCISCAN HEALTH MOORESVILLE,Voluntary non-profit - Church,Acute Care Hospitals,39.609322,-86.356098,1201 HADLEY RD,MOORESVILLE,True,25.0,328.82,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Indiana
1203,1203,HALIFAX HEALTH MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,29.20055,-81.05534,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,True,69.0,3303.19,1,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Florida
1204,1204,GOUVERNEUR HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,44.338275,-75.474371,77 WEST BARNEY STREET,GOUVERNEUR,True,47.0,163.2,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Same as the national average,New York
1205,1205,ST CHARLES PRINEVILLE,Voluntary non-profit - Private,Critical Access Hospitals,44.298093,-120.826968,384 SE COMBS FLAT ROAD,PRINEVILLE,True,46.0,161.69,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Not Available,Oregon
1206,1206,TULSA SPINE & SPECIALTY HOSPITAL,Proprietary,Acute Care Hospitals,36.06376,-96.004542,6901 SOUTH OLYMPIA AVENUE,TULSA,True,23.0,204.0,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Oklahoma
1207,1207,SANTA ROSA MEDICAL CENTER,Proprietary,Acute Care Hospitals,30.632616,-87.06825,6002 BERRYHILL RD,MILTON,True,38.0,366.2,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Florida
1208,1208,"ST JOHN BROKEN ARROW, INC",Voluntary non-profit - Private,Acute Care Hospitals,36.076843,-95.801578,1000 WEST BOISE CIRCLE,BROKEN ARROW,True,29.0,198.09,5,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Oklahoma
1209,1209,METHODIST FREMONT HEALTH,Voluntary non-profit - Private,Acute Care Hospitals,41.451464,-96.492473,450 EAST 23RD ST,FREMONT,True,45.0,457.97,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Nebraska
1210,1210,MESA VIEW REGIONAL HOSPITAL,Proprietary,Critical Access Hospitals,36.808859,-114.114456,1299 BERTHA HOWE AVENUE,MESQUITE,True,25.0,151.06,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Nevada
1211,1211,INTEGRIS HEALTH EDMOND,Voluntary non-profit - Private,Acute Care Hospitals,35.643593,-97.420038,4801 INTEGRIS PARKWAY,EDMOND,True,71.0,252.76,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Oklahoma
1212,1212,MERCY HOSPITAL SPRINGFIELD,Voluntary non-profit - Private,Acute Care Hospitals,37.177969,-93.275276,1235 E CHEROKEE,SPRINGFIELD,True,73.0,5037.84,4,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Missouri
1213,1213,MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,Voluntary non-profit - Private,Acute Care Hospitals,36.605199,-83.740056,3600 WEST CUMBERLAND AVENUE,MIDDLESBORO,True,48.0,272.3,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Kentucky
1214,1214,BROWARD HEALTH MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,26.101975,-80.14231,1600 S ANDREWS AVE,FORT LAUDERDALE,True,64.0,2967.13,2,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Florida
1215,1215,ST JOHN'S RIVERSIDE HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,40.96784,-73.885107,976 NORTH BROADWAY,YONKERS,True,80.0,1631.5,3,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,New York
1216,1216,MEDSTAR SAINT MARY'S HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,38.299239,-76.640383,25500 POINT LOOKOUT ROAD,LEONARDTOWN,True,74.0,906.38,3,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Maryland
1217,1217,UMD CHARLES REGIONAL  MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,38.529266,-76.970818,5 GARRETT AVENUE,LA PLATA,True,76.0,696.88,2,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Maryland
1218,1218,UMD SHORE MEDICAL CENTER AT EASTON,Voluntary non-profit - Private,Acute Care Hospitals,38.769655,-76.075825,219 SOUTH  WASHINGTON STREET,EASTON,True,65.0,1164.93,4,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Maryland
1219,1219,EL CAMINO HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,37.369341,-122.077933,2500 GRANT ROAD,MOUNTAIN VIEW,True,58.0,2515.87,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,California
1220,1220,MERCY HOSPITAL FORT SMITH,Voluntary non-profit - Private,Acute Care Hospitals,35.353647,-94.352964,7301 ROGERS AVE,FORT SMITH,True,55.0,1722.0,4,Below the national average,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Arkansas
1221,1221,CAMBRIDGE HEALTH ALLIANCE,Government - Local,Acute Care Hospitals,42.374186,-71.104455,1493 CAMBRIDGE STREET,CAMBRIDGE,True,51.0,3611.01,4,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Massachusetts
1222,1222,HOUSTON METHODIST SAN JACINTO HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,29.76871,-94.977548,4401 GARTH ROAD,BAYTOWN,True,83.0,1391.09,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Texas
1223,1223,UPMC ALTOONA,Voluntary non-profit - Private,Acute Care Hospitals,40.521142,-78.398184,620 HOWARD AVENUE,ALTOONA,True,72.0,2022.0,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Pennsylvania
1224,1224,LINCOLN MEDICAL & MENTAL HEALTH CENTER,Government - Local,Acute Care Hospitals,40.817681,-73.924072,234 EAST 149TH STREET,BRONX,True,80.0,3241.83,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Not Available,New York
1225,1225,ALAMEDA HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,37.76323,-122.253541,2070 CLINTON AVENUE,ALAMEDA,True,98.0,564.94,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,California
1226,1226,PEACEHEALTH SOUTHWEST MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,45.623486,-122.580636,400 NE MOTHER JOSEPH PLACE,VANCOUVER,True,55.0,2359.82,3,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Washington
1227,1227,MERCY HEALTH SYSTEM CORP,Voluntary non-profit - Private,Acute Care Hospitals,42.686744,-89.032725,1000 MINERAL POINT AVE,JANESVILLE,True,42.0,2108.26,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Above the national average,Wisconsin
1228,1228,GROSSMONT HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,32.779435,-117.009178,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,True,72.0,3110.0,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,California
1229,1229,SHARP CORONADO HOSPITAL AND HLTHCR CTR,Proprietary,Acute Care Hospitals,32.694257,-117.167947,250 PROSPECT PLACE,CORONADO,True,32.0,526.47,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,California
1230,1230,CAPE CANAVERAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,28.357879,-80.622733,701 W COCOA BEACH CAUSEWAY,COCOA BEACH,True,56.0,701.82,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Florida
1231,1231,"SOUTHCOAST HOSPITAL GROUP, INC",Voluntary non-profit - Private,Acute Care Hospitals,41.710522,-71.146439,363 HIGHLAND AVENUE,FALL RIVER,True,48.0,4458.67,2,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Massachusetts
1232,1232,MIDWESTERN REGION MED CENTER,Proprietary,Acute Care Hospitals,42.44897,-87.82684,2520 ELISHA AVENUE,ZION,True,30.0,828.5,5,Not Available,Above the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Not Available,Illinois
1233,1233,SALT LAKE REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,40.769348,-111.861175,1050 EAST SOUTH TEMPLE,SALT LAKE CITY,True,24.0,398.4,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,Utah
1234,1234,UPMC CHILDREN'S HOSPITAL OF PITTSBURGH,Voluntary non-profit - Other,Childrens,40.4664773,-79.9522935,ONE CHILDREN'S HOSPITAL DRIVE,PITTSBURGH,True,72.0,2749.63,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Pennsylvania
1235,1235,ST CLOUD HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,45.575325,-94.17045,1406 6TH AVE NORTH,SAINT CLOUD,True,71.0,4897.0,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Minnesota
1236,1236,DOCTORS HOSPITAL,Voluntary non-profit - Church,Acute Care Hospitals,39.951968,-83.136709,5100 WEST  BROAD STREET,COLUMBUS,True,58.0,1182.81,3,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Ohio
1237,1237,INTEGRIS SOUTHWEST MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,35.422535,-97.530196,4401 SOUTH WESTERN AVENUE,OKLAHOMA CITY,True,78.0,1050.73,3,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Oklahoma
1238,1238,MILLINOCKET REGIONAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,45.652729,-68.715076,200 SOMERSET STREET,MILLINOCKET,True,26.0,202.01,4,Same as the national average,Not Available,Below the national average,Above the national average,Not Available,Not Available,Same as the national average,Maine
1239,1239,UNIVERSITY OF UTAH HOSPITALS AND CLINICS,Government - State,Acute Care Hospitals,40.772019,-111.837022,50 NORTH MEDICAL DRIVE,SALT LAKE CITY,True,85.0,9388.11,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Utah
1240,1240,MERCY HOSPITAL ST LOUIS,Voluntary non-profit - Private,Acute Care Hospitals,38.6439938,-90.4465938,615 NEW BALLAS ROAD,SAINT LOUIS,True,74.0,5280.84,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Missouri
1241,1241,GEISINGER-BLOOMSBURG HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,41.008431,-76.453193,549 EAST FAIR STREET,BLOOMSBURG,True,22.0,294.9,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Pennsylvania
1242,1242,QUEENS HOSPITAL CENTER,Government - Local,Acute Care Hospitals,40.71698,-73.803431,82-68 164TH STREET,JAMAICA,True,81.0,2086.16,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Not Available,New York
1243,1243,CHI HEALTH IMMANUEL,Voluntary non-profit - Private,Acute Care Hospitals,41.321839,-96.023788,6901 NORTH 72ND ST,OMAHA,True,64.0,838.17,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Nebraska
1244,1244,PROMEDICA MONROE REGIONAL HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,41.925143,-83.389075,718 N MACOMB ST,MONROE,True,37.0,783.57,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Michigan
1245,1245,ASCENSION COLUMBIA ST MARY'S HOSPITAL MILWAUKEE,Voluntary non-profit - Church,Acute Care Hospitals,43.061411,-87.879139,2323 N LAKE DR,MILWAUKEE,True,72.0,2153.87,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Wisconsin
1246,1246,SOUTHERN NH MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,42.756061,-71.461229,8 PROSPECT STREET,NASHUA,True,70.0,1292.5,3,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,New Hampshire
1247,1247,IOWA LUTHERAN HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,41.600393,-93.610756,700 EAST UNIVERSITY AVENUE,DES MOINES,True,65.0,355.58,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Iowa
1248,1248,PAOLI HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,40.042098,-75.499817,255 WEST LANCASTER AVENUE,PAOLI,True,66.0,1097.83,5,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Pennsylvania
1249,1249,RIDDLE MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,39.914319,-75.429889,1068 WEST BALTIMORE PIKE,MEDIA,True,56.0,905.63,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Pennsylvania
1250,1250,RIVERSIDE METHODIST HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,40.031962,-83.031294,3535 OLENTANGY RIVER RD,COLUMBUS,True,81.0,6350.6,4,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Ohio
1251,1251,OHIOHEALTH MANSFIELD HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,40.753365,-82.529517,335 GLESSNER AVENUE,MANSFIELD,True,62.0,1812.2,3,Same as the national average,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Ohio
1252,1252,SPARROW CARSON HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,43.175989,-84.843788,406 EAST ELM ST,CARSON CITY,True,13.0,317.27,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Michigan
1253,1253,SACRED HEART HOSPITAL,Voluntary non-profit - Church,Acute Care Hospitals,44.793462,-91.510656,900 W CLAIREMONT AVE,EAU CLAIRE,True,53.0,815.05,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Wisconsin
1254,1254,ST MARY MEDICAL CENTER,Voluntary non-profit - Church,Acute Care Hospitals,33.779954,-118.186683,1050 LINDEN AVE,LONG BEACH,True,62.0,1229.01,1,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,California
1255,1255,KERN MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,35.380964,-118.967546,1700 MOUNT VERNON AVENUE,BAKERSFIELD,True,63.0,1738.21,1,Not Available,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Not Available,California
1256,1256,JEFFERSON STRATFORD HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,39.828853,-75.008799,18 EAST LAUREL ROAD,STRATFORD,True,67.0,3169.84,2,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,New Jersey
1257,1257,NORTHSIDE HOSPITAL GWINNETT,Government - Hospital District or Authority,Acute Care Hospitals,33.966455,-84.013012,1000 MEDICAL CENTER BOULEVARD,LAWRENCEVILLE,True,90.0,4984.79,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Georgia
1258,1258,STRAITH HOSPITAL FOR SPECIAL SURGERY,Voluntary non-profit - Private,Acute Care Hospitals,42.464332,-83.260394,23901 LAHSER,SOUTHFIELD,False,48.0,70.76,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Michigan
1259,1259,MOREHOUSE GENERAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,32.7748904,-91.9171756,323 W WALNUT,BASTROP,True,26.0,200.17,2,Same as the national average,Not Available,Below the national average,Below the national average,Below the national average,Same as the national average,Not Available,Louisiana
1260,1260,CONEMAUGH MINERS MEDICAL CENTER,Proprietary,Acute Care Hospitals,40.658913,-78.705799,290 HAIDA AVENUE,HASTINGS,True,16.0,107.47,2,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average,Above the national average,Not Available,Pennsylvania
1261,1261,UNIVERSITY OF KENTUCKY HOSPITAL,Government - State,Acute Care Hospitals,38.032448,-84.507381,800 ROSE STREET,LEXINGTON,True,84.0,7890.59,1,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Kentucky
1262,1262,PALMS WEST HOSPITAL,Proprietary,Acute Care Hospitals,26.681928,-80.251439,13001 SOUTHERN BLVD,LOXAHATCHEE,True,75.0,799.49,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Not Available,Florida
1263,1263,COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,Voluntary non-profit - Private,Acute Care Hospitals,40.130781,-85.691569,1515 N MADISON AVE,ANDERSON,True,56.0,1123.18,3,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Indiana
1264,1264,HILLCREST HOSPITAL CLAREMORE,Proprietary,Acute Care Hospitals,36.32253,-95.605336,1202 N MUSKOGEE PLACE,CLAREMORE,True,41.0,279.87,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Oklahoma
1265,1265,WILMINGTON TREATMENT CENTER,Voluntary non-profit - Private,Acute Care Hospitals,34.1949,-77.928549,2520 TROY DRIVE,WILMINGTON,False,53.0,158.08,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,North Carolina
1266,1266,BELL HOSPITAL,Proprietary,Critical Access Hospitals,46.498665,-87.682993,901 LAKESHORE DRIVE,ISHPEMING,True,29.0,283.34,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available,Michigan
1267,1267,PRESTON MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,39.465641,-79.676398,150 MEMORIAL DRIVE,KINGWOOD,True,36.0,299.49,5,Not Available,Not Available,Above the national average,Above the national average,Not Available,Above the national average,Not Available,West Virginia
1268,1268,ASCENSION GOOD SAMARITAN HOSPITAL,Voluntary non-profit - Church,Critical Access Hospitals,45.175858,-89.683031,601 S CENTER AVE,MERRILL,True,10.0,59.98,4,Not Available,Not Available,Above the national average,Not Available,Same as the national average,Above the national average,Not Available,Wisconsin
1269,1269,SUNBURY COMMUNITY HOSPITAL,Proprietary,Acute Care Hospitals,40.862243,-76.778268,350 NORTH 11TH STREET,SUNBURY,False,21.0,96.74,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,Pennsylvania
1270,1270,NORTHWEST HOSPITAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,39.359208,-76.782944,5401 OLD COURT ROAD,RANDALLSTOWN,True,69.0,1215.54,2,Same as the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Maryland
1271,1271,COMMUNITY HOSPITAL OF SAN BERNARDINO,Voluntary non-profit - Private,Acute Care Hospitals,34.131238,-117.322559,1805 MEDICAL CENTER DRIVE,SAN BERNARDINO,True,48.0,1212.75,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available,California
1272,1272,MERCY MEDICAL CENTER INC,Voluntary non-profit - Church,Acute Care Hospitals,39.29255,-76.61355,301 SAINT PAUL PLACE,BALTIMORE,True,82.0,2740.01,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Maryland
1273,1273,"JOHNS HOPKINS HOSPITAL, THE",Voluntary non-profit - Private,Acute Care Hospitals,39.297502,-76.590807,600 NORTH  WOLFE STREET,BALTIMORE,True,85.0,9594.3,3,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Maryland
1274,1274,COVENANT MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,43.428097,-83.955548,1447 N HARRISON,SAGINAW,True,75.0,3988.0,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Michigan
