,hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,emergency_services,subtotal_acute_utilization,payroll_employees,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison
891,PERKINS COUNTY HEALTH SERVICES,Government - Hospital District or Authority,Critical Access Hospitals,40.848268,-101.727182,900 LINCOLN AVE,GRANT,True,24.0,198.27,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Same as the national average,Same as the national average
892,COMMUNITY HOSPITAL,Voluntary non-profit - Other,Critical Access Hospitals,40.2004042,-100.6317977,"P O BOX 1328, 1301 EAST H ST",MCCOOK,True,40.0,258.48,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available
893,COMMUNITY HOSPITAL,Voluntary non-profit - Other,Critical Access Hospitals,40.2004042,-100.6317977,"P O BOX 1328, 1301 EAST H ST",MCCOOK,True,40.0,258.48,2,Below the national average,Not Available,Below the national average,Above the national average,Not Available,Above the national average,Same as the national average
894,COMMUNITY HOSPITAL,Voluntary non-profit - Other,Critical Access Hospitals,40.2004042,-100.6317977,"P O BOX 1328, 1301 EAST H ST",MCCOOK,True,40.0,258.48,3,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
895,COMMUNITY HOSPITAL,Voluntary non-profit - Other,Critical Access Hospitals,40.2004042,-100.6317977,"P O BOX 1328, 1301 EAST H ST",MCCOOK,True,40.0,258.48,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
896,FLOYD VALLEY HEALTHCARE,Proprietary,Critical Access Hospitals,42.79728,-96.15599,714 LINCOLN ST NE,LE MARS,True,24.0,295.3,5,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Above the national average,Not Available
897,ARBUCKLE MEMORIAL HOSPITAL AUTHORITY,Government - Local,Critical Access Hospitals,34.506333,-96.996005,2011 WEST BROADWAY,SULPHUR,True,65.0,130.28,Not Available,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Not Available,Not Available
898,SANFORD HOSPITAL WEBSTER - CAH,Voluntary non-profit - Private,Critical Access Hospitals,45.339079,-97.52149,1401 W FIRST ST POST OFFICE BOX 489,WEBSTER,True,10.0,56.74,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
899,HARDEMAN COUNTY MEMORIAL HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,34.296566,-99.741056,402 MERCER ST,QUANAH,True,11.0,80.74,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
900,MILFORD VALLEY MEMORIAL HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,38.407308,-113.009543,850 NORTH MAIN STREET,MILFORD,False,19.0,32.63,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
901,NORTH VALLEY HOSPITAL,Government - Local,Critical Access Hospitals,48.706819,-119.439597,203 SOUTH WESTERN,TONASKET,True,28.0,98.83,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Same as the national average,Not Available
902,NORTH VALLEY HOSPITAL,Government - Local,Critical Access Hospitals,48.706819,-119.439597,203 SOUTH WESTERN,TONASKET,True,28.0,98.83,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
903,MID VALLEY HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,48.396527,-119.545328,810 JASMINE STREET,OMAK,True,23.0,200.93,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Not Available,Same as the national average
904,IU HEALTH JAY,Government - Local,Critical Access Hospitals,40.439366,-84.984105,500 W VOTAW ST,PORTLAND,True,25.0,205.03,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
905,ROGER MILLS MEMORIAL HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,35.609205,-99.671997,501 SOUTH L L MALES AVENUE,CHEYENNE,True,15.0,49.99,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
906,SABINE COUNTY HOSPITAL,Proprietary,Critical Access Hospitals,31.3407403,-93.846852,"PO BOX 750, 2301 HWY 83 W",HEMPHILL,True,14.0,79.68,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available
907,SAINT THOMAS DEKALB HOSPITAL,Voluntary non-profit - Church,Acute Care Hospitals,35.959403,-85.829841,520 W MAIN ST,SMITHVILLE,True,7.0,53.54,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
908,AVERA HOLY FAMILY HOSPITAL,Voluntary non-profit - Church,Critical Access Hospitals,43.410596,-94.833956,826 NORTH 8TH STREET,ESTHERVILLE,True,22.0,192.52,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Above the national average,Same as the national average
909,PALO ALTO COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,43.119191,-94.691343,3201 1ST STREET,EMMETSBURG,True,21.0,165.09,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available
910,MYRTUE MEDICAL CENTER,Voluntary non-profit - Other,Critical Access Hospitals,41.647473,-95.326202,1213 GARFIELD AVENUE,HARLAN,True,37.0,224.41,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
911,MIDMICHIGAN MEDICAL CENTER - WEST BRANCH,Government - Local,Acute Care Hospitals,44.26283,-84.24623,2463 SOUTH M-30,WEST BRANCH,True,23.0,302.61,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
912,HILLS & DALES GENERAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,43.604308,-83.181126,4675 HILL STREET,CASS CITY,True,18.0,251.67,4,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Above the national average,Not Available
913,YUKON KUSKOKWIM DELTA REG HOSPITAL,Tribal,Acute Care Hospitals,60.7922222,-161.7558334,PO BOX 287,BETHEL,True,40.0,1021.0,3,Same as the national average,Not Available,Above the national average,Below the national average,Same as the national average,Not Available,Not Available
914,ADVENTHEALTH DURAND,Voluntary non-profit - Church,Critical Access Hospitals,44.620309,-91.9635,1220 3RD AVE W,DURAND,True,14.0,87.75,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
915,SCHOOLCRAFT MEMORIAL HOSPITAL,Government - Local,Critical Access Hospitals,45.944963,-86.275716,7870W US HIGHWAY 2,MANISTIQUE,True,38.0,256.27,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Same as the national average,Same as the national average
916,HERMANN AREA DISTRICT HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,38.692309,-91.448615,509 W 18TH ST,HERMANN,True,40.0,163.85,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
917,ST FRANCIS MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,41.842945,-96.706763,430 NORTH MONITOR ST,WEST POINT,True,21.0,206.2,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Above the national average,Not Available
918,LINCOLN COMMUNITY HOSPITAL,Voluntary non-profit - Other,Critical Access Hospitals,39.13766,-103.473159,111 6TH ST,HUGO,True,17.0,196.42,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
919,STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL,Government - Federal,Acute Care Hospitals,46.0952325,-100.6281136,10 NORTH RIVER ROAD,FORT YATES,True,4.0,169.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
920,THREE RIVERS HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,36.075057,-87.792741,451 HIGHWAY 13 SOUTH,WAVERLY,True,24.0,74.21,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
921,THREE RIVERS HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,36.075057,-87.792741,451 HIGHWAY 13 SOUTH,WAVERLY,True,24.0,74.21,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available
922,KITTSON MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,48.767058,-96.940492,1010 SOUTH BIRCH,HALLOCK,True,10.0,142.27,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
923,ESSENTIA HEALTH ADA,Voluntary non-profit - Private,Critical Access Hospitals,47.296091,-96.53019,201 9TH STREET WEST,ADA,True,4.0,60.42,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
924,ESSENTIA HEALTH HOLY TRINITY HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,45.56241,-96.433452,"115  SECOND STREET WEST, BOX 157",GRACEVILLE,True,7.0,84.18,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
925,CENTRACARE HEALTH SYSTEM - LONG PRAIRIE,Voluntary non-profit - Private,Critical Access Hospitals,45.9733659,-94.8429923,50 CENTRACARE DRIVE,LONG PRAIRIE,True,55.0,258.13,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Above the national average,Not Available
926,LAKE BUTLER HOSPITAL,Proprietary,Critical Access Hospitals,30.023603,-82.327433,850 E MAIN ST,LAKE BUTLER,True,33.0,79.99,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
927,CHEROKEE REGIONAL MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,42.759282,-95.546962,300 SIOUX VALLEY DRIVE,CHEROKEE,True,40.0,229.7,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Not Available
928,ST MICHAEL'S HOSPITAL - CAH,Government - Local,Critical Access Hospitals,42.991253,-97.867896,410 W 16TH AVE,TYNDALL,True,20.0,64.15,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
929,FILLMORE COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,40.5243546,-97.5877126,"P O BOX 193, 1900 F STREET",GENEVA,True,22.0,140.09,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Above the national average,Same as the national average
930,BROWN COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,42.544934,-99.850045,945 EAST ZERO ST,AINSWORTH,True,13.0,65.56,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
931,ROCK COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,42.575812,-99.537891,102 EAST SOUTH STREET,BASSETT,True,9.0,84.86,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
932,WEST HOLT MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,42.52853,-98.98236,406 W NEELY ST,ATKINSON,True,10.0,77.12,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available
933,MELISSA MEMORIAL HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,40.578428,-102.290249,1001 E JOHNSON ST,HOLYOKE,True,19.0,95.27,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
934,MT SAN RAFAEL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,37.17338,-104.488796,410 BENEDICTA AVE,TRINIDAD,True,28.0,206.26,5,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Not Available,Same as the national average
935,JOHNSON COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,40.379192,-96.197342,202 HIGH ST,TECUMSEH,True,19.0,130.87,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
936,ELKVIEW GENERAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,35.036829,-99.09834,429 WEST ELM STREET,HOBART,True,16.0,100.84,3,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average,Above the national average,Same as the national average
937,SWISHER MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,34.535571,-101.75641,539 SOUTHEAST 2ND,TULIA,True,21.0,78.0,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available
938,DOWN EAST COMMUNITY HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,44.713411,-67.477203,11 HOSPITAL DRIVE,MACHIAS,True,39.0,269.92,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
939,SHENANDOAH MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,38.871586,-78.513936,759 SOUTH MAIN STREET,WOODSTOCK,True,55.0,344.57,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
940,CHI ST ALEXIUS HEALTH TURTLE LAKE,Voluntary non-profit - Church,Critical Access Hospitals,47.517925,-100.894442,220 5TH AVE W,TURTLE LAKE,True,76.0,53.78,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
941,"MERCY HOSPITAL WATONGA, INC",Voluntary non-profit - Private,Critical Access Hospitals,35.849455,-98.419248,500 NORTH CLARENCE NASH BOULEVARD,WATONGA,True,6.0,51.45,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
942,MONROE COUNTY HOSPITAL,Voluntary non-profit - Other,Critical Access Hospitals,41.044838,-92.796475,6580 165TH STREET,ALBIA,True,13.0,148.36,3,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Below the national average
943,MONROE COUNTY HOSPITAL,Voluntary non-profit - Other,Critical Access Hospitals,41.044838,-92.796475,6580 165TH STREET,ALBIA,True,13.0,148.36,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
944,MONROE COUNTY HOSPITAL,Voluntary non-profit - Other,Critical Access Hospitals,41.044838,-92.796475,6580 165TH STREET,ALBIA,True,13.0,148.36,3,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
945,CLARKE COUNTY HOSPITAL,Voluntary non-profit - Other,Critical Access Hospitals,41.02571,-93.767533,800 S FILLMORE ST,OSCEOLA,True,28.0,141.55,3,Not Available,Not Available,Below the national average,Not Available,Not Available,Above the national average,Same as the national average
946,KOSSUTH REGIONAL HEALTH CENTER,Government - Local,Critical Access Hospitals,43.056822,-94.227124,1515 SOUTH PHILLIPS STREET,ALGONA,True,43.0,191.84,4,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available,Above the national average,Same as the national average
947,WAYNE COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,40.754492,-93.31232,417 SOUTH EAST STREET,CORYDON,True,31.0,206.14,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Same as the national average
948,WAYNE COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,40.754492,-93.31232,417 SOUTH EAST STREET,CORYDON,True,31.0,206.14,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
949,BURGESS HEALTH CENTER,Voluntary non-profit - Private,Critical Access Hospitals,42.025739,-96.105586,1600 DIAMOND STREET,ONAWA,True,28.0,211.3,4,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Above the national average,Not Available
950,VAN DIEST MEDICAL CENTER,Government - Local,Critical Access Hospitals,42.452963,-93.813485,2350 HOSPITAL DRIVE,WEBSTER CITY,True,33.0,210.87,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Same as the national average
951,CRAWFORD COUNTY MEMORIAL HOSPITAL,Voluntary non-profit - Other,Critical Access Hospitals,42.023257,-95.377086,100 MEDICAL PARKWAY,DENISON,True,23.0,225.0,2,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Same as the national average
952,MARK TWAIN MEDICAL CENTER,Voluntary non-profit - Other,Critical Access Hospitals,38.190973,-120.670661,768 MOUNTAIN RANCH RD,SAN ANDREAS,False,34.0,239.91,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
953,KNOX COUNTY HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,33.414107,-99.811451,701 SOUTHEAST  5TH STREET,KNOX CITY,True,4.0,51.78,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
954,NORTHERN LIGHT MAINE COAST HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,44.546574,-68.415526,50 UNION STREET,ELLSWORTH,True,45.0,488.0,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average
955,MERCY HOSPITAL WALDRON,Voluntary non-profit - Private,Critical Access Hospitals,34.896785,-94.106078,1341 WEST SIXTH STREET,WALDRON,True,13.0,61.96,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
956,TANNER MEDICAL CENTER-EAST ALABAMA,Government - Hospital District or Authority,Critical Access Hospitals,33.296666,-85.480028,1032 MAIN STREET SOUTH,WEDOWEE,True,22.0,42.03,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
957,WHITESBURG ARH HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,37.11182,-82.813612,240 HOSPITAL ROAD,WHITESBURG,True,47.0,276.18,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
958,TUG VALLEY ARH REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,37.676373,-82.296581,260 HOSPITAL DRIVE,SOUTH WILLIAMSON,True,24.0,360.68,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
959,ASCENSION ST JOSEPH HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,44.274911,-83.511002,200 HEMLOCK,TAWAS CITY,True,21.0,330.17,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
960,GRAHAM REGIONAL MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,33.089973,-98.584356,1301 MONTGOMERY ROAD,GRAHAM,True,25.0,457.97,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
961,WINKLER COUNTY MEMORIAL HOSPITAL,Government - Local,Critical Access Hospitals,31.849739,-103.089916,821 JEFFEE DRIVE,KERMIT,True,12.0,72.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
962,RANKIN HOSPITAL MEDICAL CLINIC,Government - Hospital District or Authority,Critical Access Hospitals,31.233548,-101.936178,1611 SPUR 576,RANKIN,False,6.0,69.49,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
963,MITCHELL COUNTY HOSPITAL DISTRICT,Government - Hospital District or Authority,Critical Access Hospitals,32.388145,-100.855736,997 WEST I-20,COLORADO CITY,True,32.0,151.48,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available
964,MITCHELL COUNTY HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,31.229277,-84.205091,90 STEPHENS STREET,CAMILLA,True,68.0,270.86,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
965,MADISON MEDICAL CENTER,Voluntary non-profit - Other,Critical Access Hospitals,37.559846,-90.302408,611 W MAIN ST,FREDERICKTOWN,True,21.0,246.73,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
966,HENDRICKS COMMUNITY HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,44.506299,-96.418768,503 E LINCOLN STREET,HENDRICKS,True,7.0,96.97,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
967,ST LUKE HOSPITAL & LIVING CENTER,Government - Hospital District or Authority,Critical Access Hospitals,38.342708,-97.010014,535 SOUTH FREEBORN,MARION,True,26.0,164.95,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
968,FIELD HEALTH SYSTEM,Government - Local,Critical Access Hospitals,31.0820299,-91.0587631,178 HIGHWAY 24,CENTREVILLE,True,54.0,141.0,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
969,WRIGHT MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,40.068275,-93.579936,191 IOWA BOULEVARD,TRENTON,True,37.0,145.36,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Above the national average,Same as the national average
970,HEDRICK MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,39.816125,-93.552781,2799 NORTH WASHINGTON STREET,CHILLICOTHE,True,65.0,444.37,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
971,CLAIBORNE MEDICAL CENTER,Government - Local,Acute Care Hospitals,36.453341,-83.571972,1850 OLD KNOXVILLE HIGHWAY,TAZEWELL,True,30.0,308.75,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
972,MAMMOTH HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,37.645071,-118.963911,85 SIERRA PARK ROAD PO BOX 660,MAMMOTH LAKES,True,29.0,277.59,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Same as the national average,Not Available
973,SISTERSVILLE GENERAL HOSPITAL,Government - Local,Critical Access Hospitals,39.558339,-81.004067,314 SOUTH WELLS STREET,SISTERSVILLE,True,3.0,122.01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
974,THEDACARE MEDICAL CENTER - WILD ROSE INC,Voluntary non-profit - Private,Critical Access Hospitals,44.183143,-89.245704,601 GROVE AVE,WILD ROSE,True,20.0,67.26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
975,MAHNOMEN HEALTH CENTER,Government - Local,Critical Access Hospitals,47.3117925,-95.9729278,414 W JEFFERSON PO BOX 396,MAHNOMEN,True,14.0,88.91,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
976,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,Voluntary non-profit - Private,Critical Access Hospitals,35.506578,-92.001319,1800 BYPASS ROAD,HEBER SPRINGS,True,36.0,153.09,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
977,ST LUKE'S MCCALL,Voluntary non-profit - Private,Critical Access Hospitals,44.909354,-116.109703,1000 STATE STREET,BURGDORF,True,28.0,200.35,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Above the national average,Same as the national average
978,CEDAR COUNTY MEMORIAL HOSPITAL,Government - Local,Critical Access Hospitals,37.860674,-94.018505,1401 SOUTH PARK STREET,EL DORADO SPRINGS,True,18.0,102.71,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
979,SOCORRO GENERAL HOSPITAL,Proprietary,Critical Access Hospitals,34.038721,-106.912014,1202 HIGHWAY 60 WEST,SOCORRO,True,21.0,159.71,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
980,LAMB HEALTHCARE CENTER,Government - Local,Acute Care Hospitals,33.911625,-102.345439,1500 S SUNSET,LITTLEFIELD,True,11.0,104.73,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available
981,UPMC SUSQUEHANNA SOLDIERS & SAILORS,Voluntary non-profit - Private,Critical Access Hospitals,41.745192,-77.298997,32-36 CENTRAL AVENUE,WELLSBORO,True,65.0,290.71,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
982,CHOCTAW GENERAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,32.0937419,-88.2095888,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,True,23.0,93.12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
983,WARREN MEMORIAL HOSPITAL,Government - Local,Critical Access Hospitals,40.653693,-97.282052,905 SECOND ST,FRIEND,True,11.0,37.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
984,WARREN MEMORIAL HOSPITAL,Government - Local,Critical Access Hospitals,40.653693,-97.282052,905 SECOND ST,FRIEND,True,11.0,37.4,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
985,CHI ST ALEXIUS HEALTH DEVILS LAKE,Voluntary non-profit - Private,Critical Access Hospitals,48.114774,-98.850345,1031 7TH ST NE,DEVILS LAKE,True,41.0,116.04,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Above the national average,Same as the national average
986,AVERA DE SMET MEMORIAL HOSPITAL - CAH,Voluntary non-profit - Private,Critical Access Hospitals,44.3860427,-97.5611172,306 PRAIRIE AVENUE SW  POST OFFICE BOX 160,DE SMET,True,10.0,26.09,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
987,ST LUKE'S HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,48.906708,-103.29823,702 1ST ST SW,CROSBY,True,29.0,100.09,3,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
988,ST LUKE'S HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,48.906708,-103.29823,702 1ST ST SW,CROSBY,True,29.0,100.09,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
989,TRINITY HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,40.737579,-122.939444,60 EASTER AVENUE,WEAVERVILLE,True,23.0,138.26,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
990,TRINITY HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,40.737579,-122.939444,60 EASTER AVENUE,WEAVERVILLE,True,23.0,138.26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
991,PINCKNEYVILLE COMMUNITY HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,38.08023,-89.368631,5383 STATE ROUTE 154,PINCKNEYVILLE,True,50.0,198.22,3,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
992,S E LACKEY MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,32.365907,-89.470963,330 N BROAD STREET,FOREST,True,45.0,224.99,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available
993,POCAHONTAS COMMUNITY HOSPITAL,Government - Local,Critical Access Hospitals,42.740822,-94.678778,606 N W 7TH STREET,POCAHONTAS,True,12.0,72.62,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
994,AUDUBON COUNTY MEMORIAL HOSPITAL,Government - Local,Critical Access Hospitals,41.715423,-94.937044,515 PACIFIC AVENUE,AUDUBON,True,7.0,85.95,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
995,SAKAKAWEA MEDICAL CENTER - CAH,Voluntary non-profit - Private,Critical Access Hospitals,47.298286,-101.61156,510 8TH AVENUE NE,HAZEN,True,30.0,117.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
